Polarization,Polarization_All,Churn_Rate,Revenue,Avg_Frustration,Active_Users,Mean_Trust,Ingroup_Trust,Outgroup_Trust,Trust_Segregation,Opinion_Clustering,Seed,Condition,Run
0.9935702254106348,0.9937241034162396,0.006,198.8,0.5090543259557344,497.0,0.5,0.5,0.5,1.0,0.114554400904275,42,M0_bridge_intercept,0
0.9954501266318476,0.9957252742894116,0.052,189.6,1.0021097046413503,474.0,0.5,0.5,0.5,1.0,0.1177444229194043,42,M1_heal_only,0
0.9895037744817512,0.9914686292549584,0.178,164.4,1.1995133819951338,411.0,0.5,0.5,0.5,1.0,0.1396295243010571,42,M2_bridge_drop,0
0.9895037744817512,0.9914686292549584,0.178,164.4,1.1995133819951338,411.0,0.5,0.5,0.5,1.0,0.1396295243010571,42,M3_no_heal_bonus,0
0.9935702254106348,0.9937241034162396,0.006,497.0,0.5090543259557344,497.0,0.5,0.5,0.5,1.0,0.114554400904275,42,M5_no_brand_safety,0
0.9953985465532528,0.9963864854430946,0.36,128.0,1.290625,320.0,0.5,0.5,0.5,1.0,0.1492715810734964,42,REF_baseline,0
0.990574147310863,0.9905765693286444,0.002,199.6,0.6653306613226453,499.0,0.5,0.5,0.5,1.0,0.0920881873964509,43,M0_bridge_intercept,1
0.9926370284459536,0.9926963585034356,0.008,198.4,0.5141129032258065,496.0,0.5436955063715627,0.971496855345912,0.0560087719298245,17.345441113458726,0.109443791447187,42,M4_full_no_decay,0
0.9937938920444532,0.9968095782742784,0.212,157.60000000000002,1.0050761421319796,394.0,0.5,0.5,0.5,1.0,0.1265967781513466,43,M2_bridge_drop,1
0.9957441921839456,0.9965239304067174,0.06,188.0,0.9851063829787234,470.0,0.5,0.5,0.5,1.0,0.0966661830905116,43,M1_heal_only,1
0.9937938920444532,0.9968095782742784,0.212,157.60000000000002,1.0050761421319796,394.0,0.5,0.5,0.5,1.0,0.1265967781513466,43,M3_no_heal_bonus,1
0.990574147310863,0.9905765693286444,0.002,499.0,0.6653306613226453,499.0,0.5,0.5,0.5,1.0,0.0920881873964509,43,M5_no_brand_safety,1
0.9766764008250768,0.9896057612264574,0.368,126.4,0.870253164556962,316.0,0.5,0.5,0.5,1.0,0.131419238492954,43,REF_baseline,1
0.9951897365776248,0.9952821666455944,0.002,199.6,0.5230460921843687,499.0,0.5363782696177063,0.989040404040404,0.0235919540229885,41.9227844830768,0.0965171719710208,43,M4_full_no_decay,1
0.9959642549205482,0.996252784345618,0.006,198.8,0.5613682092555332,497.0,0.5,0.5,0.5,1.0,0.0687085595880641,44,M0_bridge_intercept,2
0.9956199075115156,0.996867060476301,0.044,191.2,1.1945606694560669,478.0,0.5,0.5,0.5,1.0,0.0665596300503525,44,M1_heal_only,2
0.9929782484607984,0.9957103642913604,0.208,158.4,1.0555555555555556,396.0,0.5,0.5,0.5,1.0,0.0927589385922719,44,M2_bridge_drop,2
0.9929782484607984,0.9957103642913604,0.208,158.4,1.0555555555555556,396.0,0.5,0.5,0.5,1.0,0.0927589385922719,44,M3_no_heal_bonus,2
0.9959642549205482,0.996252784345618,0.006,497.0,0.5613682092555332,497.0,0.5,0.5,0.5,1.0,0.0687085595880641,44,M5_no_brand_safety,2
0.9669266466372876,0.9899973965505552,0.39,122.0,1.1672131147540985,305.0,0.5,0.5,0.5,1.0,0.1138961748633879,44,REF_baseline,2
0.9932116182394184,0.9931595101994232,0.002,199.6,0.5711422845691383,499.0,0.5146478873239437,0.9829712041884816,0.022475795297372,43.73465726943213,0.0756575379579452,44,M4_full_no_decay,2
0.992060745601468,0.9919954093372488,0.002,199.6,0.6032064128256514,499.0,0.5,0.5,0.5,1.0,0.0921318482321262,45,M0_bridge_intercept,3
0.9896823543948056,0.9903531189169468,0.06,188.0,0.9595744680851064,470.0,0.5,0.5,0.5,1.0,0.0974886787415637,45,M1_heal_only,3
0.9822663891350588,0.989364902698677,0.194,161.20000000000002,1.109181141439206,403.0,0.5,0.5,0.5,1.0,0.117364252531299,45,M2_bridge_drop,3
0.9822663891350588,0.989364902698677,0.194,161.20000000000002,1.109181141439206,403.0,0.5,0.5,0.5,1.0,0.117364252531299,45,M3_no_heal_bonus,3
0.992060745601468,0.9919954093372488,0.002,499.0,0.6032064128256514,499.0,0.5,0.5,0.5,1.0,0.0921318482321262,45,M5_no_brand_safety,3
0.9145696479614734,0.9866249672502134,0.396,120.8,0.8245033112582781,302.0,0.5,0.5,0.5,1.0,0.123178272837408,45,REF_baseline,3
0.9868094929599296,0.9867555115719931,0.002,199.6,0.5991983967935872,499.0,0.5386586183769283,0.983697585768742,0.0399001426533523,24.653986686588773,0.0911113456885776,45,M4_full_no_decay,3
0.9906145720052312,0.9906093340543214,0.006,198.8,0.5070422535211268,497.0,0.5,0.5,0.5,1.0,0.0954067746593774,46,M0_bridge_intercept,4
0.9911783348648676,0.9911487946774516,0.052,189.6,1.0063291139240509,474.0,0.5,0.5,0.5,1.0,0.0970036433294311,46,M1_heal_only,4
