Polarization,Churn_Rate,Revenue,Avg_Frustration,Active_Users,Mean_Trust,Ingroup_Trust,Outgroup_Trust,Trust_Segregation,Opinion_Clustering,Seed,Topology,Bridge,Run
0.9953985465532528,0.36,128.0,1.290625,320.0,0.5,0.5,0.5,1.0,0.1271440251412643,42,ba,False,0
0.9935702254106348,0.006,198.8,0.5090543259557344,497.0,0.5,0.5,0.5,1.0,0.1135378805926528,42,ba,True,0
0.9864786379592158,0.366,126.8,0.5520504731861199,317.0,0.5,0.5,0.5,1.0,0.3393436391859105,42,watts_strogatz,False,0
0.9766764008250768,0.368,126.4,0.870253164556962,316.0,0.5,0.5,0.5,1.0,0.1031838047986595,43,ba,False,1
0.992087698490319,0.002,199.6,0.6332665330661322,499.0,0.5,0.5,0.5,1.0,0.2674295199345299,42,watts_strogatz,True,0
0.990574147310863,0.002,199.6,0.6653306613226453,499.0,0.5,0.5,0.5,1.0,0.0920881873964509,43,ba,True,1
0.9900417505141648,0.332,133.6,0.437125748502994,334.0,0.5,0.5,0.5,1.0,0.4118750594049995,43,watts_strogatz,False,1
0.9669266466372876,0.39,122.0,1.1672131147540985,305.0,0.5,0.5,0.5,1.0,0.0906788885175703,44,ba,False,2
0.9922421406865108,0.002,199.6,0.503006012024048,499.0,0.5,0.5,0.5,1.0,0.3289269014218914,43,watts_strogatz,True,1
0.9959642549205482,0.006,198.8,0.5613682092555332,497.0,0.5,0.5,0.5,1.0,0.0687085595880641,44,ba,True,2
0.9726679499799776,0.362,127.6,0.4952978056426332,319.0,0.5,0.5,0.5,1.0,0.3742635716773647,44,watts_strogatz,False,2
0.9145696479614734,0.396,120.8,0.8245033112582781,302.0,0.5,0.5,0.5,1.0,0.1027251919010116,45,ba,False,3
0.9930046920458678,0.004,199.2,0.6485943775100401,498.0,0.5,0.5,0.5,1.0,0.3058753049716905,44,watts_strogatz,True,2
0.992060745601468,0.002,199.6,0.6032064128256514,499.0,0.5,0.5,0.5,1.0,0.0911113456885776,45,ba,True,3
0.9725944609498032,0.358,128.4,0.5015576323987538,321.0,0.5,0.5,0.5,1.0,0.3583342323996529,45,watts_strogatz,False,3
0.9901826742598172,0.36,128.0,1.04375,320.0,0.5,0.5,0.5,1.0,0.109139374792945,46,ba,False,4
0.9863761395888474,0.0,200.0,0.59,500.0,0.5,0.5,0.5,1.0,0.267762481962482,45,watts_strogatz,True,3
