Polarization,Churn_Rate,Revenue,Avg_Frustration,Active_Users,Mean_Trust,Ingroup_Trust,Outgroup_Trust,Trust_Segregation,Opinion_Clustering,Seed,Model,Run
0.9843461991156356,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0895748286680639,56,degroot_bias,14
0.9170456020914876,0.438,112.4,1.0498220640569396,281.0,0.5,0.5,0.5,1.0,0.1033484507313876,57,dynamic_babe,15
0.7053141255787869,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0627174585940375,57,hk,15
0.992961952613722,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0627174585940375,57,degroot_bias,15
0.91921515930675,0.372,125.6,0.961783439490446,314.0,0.5,0.5,0.5,1.0,0.0900286647646687,58,dynamic_babe,16
0.7098141451903995,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0839308728193206,58,hk,16
0.983369790217285,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0881126910011388,58,degroot_bias,16
0.9495815073745216,0.396,120.8,0.7086092715231788,302.0,0.5,0.5,0.5,1.0,0.0787750706363463,59,dynamic_babe,17
0.6902148358148207,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0590516030879875,59,hk,17
0.9957132999660542,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0552159387523231,59,degroot_bias,17
0.9801134850839116,0.352,129.6,1.132716049382716,324.0,0.5,0.5,0.5,1.0,0.0966967325970919,60,dynamic_babe,18
0.6807964615994507,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0875849611140655,60,hk,18
0.9866629687629715,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0875849611140655,60,degroot_bias,18
0.9781021007692536,0.406,118.8,1.1313131313131313,297.0,0.5,0.5,0.5,1.0,0.0737999796119694,61,dynamic_babe,19
0.6960247320064239,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0533375834863451,61,hk,19
0.9904551368647364,0.0,200.0,0.0,500.0,0.5,0.5,0.5,1.0,0.0700253863267795,61,degroot_bias,19
